"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-23","69",",,7","56",",,7","66",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-24","74",",,7","56",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-25","70",",,7","56",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-26","69",",,7","56",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-27","70",",,7","56",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-28","70",",,7","57",",,7","67",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-29","72",",,7","57",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-06-30","70",",,7","57",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-01","73",",,7","59",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-02","72",",,7","60",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-03","72",",,7","60",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-04","72",",,7","59",",,7","69",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-05","72",",,7","59",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-06","70",",,7","57",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-07","70",",,7","59",",,7","67",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-08","73",",,7","57",",,7","68",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-09","73",",,7","59",",,7","71",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-10","76",",,7","58",",,7","72",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-11","76",",,7","58",",,7","74",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-12","83",",,7","62",",,7","78",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-13","82",",,7","63",",,7","75",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-14","83",",,7","61",",,7","77",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-15","77",",,7","61",",,7","72",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-16","77",",,7","64",",,7","72",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-17","84",",,7","66",",,7","75",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-18","80",",,7","64",",,7","75",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-19","82",",,7","64",",,7","78",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-20","84",",,7","64",",,7","77",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-21","78",",,7","62",",,7","72",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-22","76",",,7","60",",,7","73",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-23","87",",,7","63",",,7","72",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-24","78",",,7","66",",,7","75",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-25","84",",,7","66",",,7","81",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-26","86",",,7","67",",,7","83",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-27","85",",,7","67",",,7","79",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-28","79",",,7","65",",,7","76",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-29","85",",,7","66",",,7","78",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-30","82",",,7","66",",,7","81",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-07-31","90",",,7","69",",,7","79",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-08-01","82",",,7","69",",,7","78",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-08-02","80",",,7","65",",,7","79",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-08-03","79",",,7","60",",,7","74",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-08-04","76",",,7","62",",,7","73",",,7,1600"
"USC00049152","U C L A, CA US","34.0697","-118.4427","131.1","2023-08-05","79",",,7","62",",,7","77",",,7,1600"
